# Super Mario Bros. World 1-1 - extracted from the original level scene
# T <x> <y> <layer> <sprite>
T -14 -5 0 WorldTileSprites_52
T -13 -5 0 WorldTileSprites_52
T -12 -5 0 WorldTileSprites_52
T -11 -5 0 WorldTileSprites_52
T -10 -5 0 WorldTileSprites_52
T -9 -5 0 WorldTileSprites_52
T -8 -5 0 WorldTileSprites_52
T -7 -5 0 WorldTileSprites_52
T -6 -5 0 WorldTileSprites_52
T -5 -5 0 WorldTileSprites_52
T -4 -5 0 WorldTileSprites_52
T -3 -5 0 WorldTileSprites_52
T -2 -5 0 WorldTileSprites_52
T -1 -5 0 WorldTileSprites_52
T 0 -5 0 WorldTileSprites_52
T 1 -5 0 WorldTileSprites_52
T 2 -5 0 WorldTileSprites_52
T 3 -5 0 WorldTileSprites_52
T 4 -5 0 WorldTileSprites_52
T 5 -5 0 WorldTileSprites_52
T 6 -5 0 WorldTileSprites_52
T 7 -5 0 WorldTileSprites_52
T 8 -5 0 WorldTileSprites_52
T 9 -5 0 WorldTileSprites_52
T 10 -5 0 WorldTileSprites_52
T 11 -5 0 WorldTileSprites_52
T 12 -5 0 WorldTileSprites_52
T 13 -5 0 WorldTileSprites_52
T 14 -5 0 WorldTileSprites_52
T 15 -5 0 WorldTileSprites_52
T 16 -5 0 WorldTileSprites_52
T 17 -5 0 WorldTileSprites_52
T 18 -5 0 WorldTileSprites_52
T 19 -5 0 WorldTileSprites_52
T 20 -5 0 WorldTileSprites_52
T 21 -5 0 WorldTileSprites_52
T 22 -5 0 WorldTileSprites_52
T 23 -5 0 WorldTileSprites_52
T 24 -5 0 WorldTileSprites_52
T 25 -5 0 WorldTileSprites_52
T 26 -5 0 WorldTileSprites_52
T 27 -5 0 WorldTileSprites_52
T 28 -5 0 WorldTileSprites_52
T 29 -5 0 WorldTileSprites_52
T 30 -5 0 WorldTileSprites_52
T 31 -5 0 WorldTileSprites_52
T 32 -5 0 WorldTileSprites_52
T 33 -5 0 WorldTileSprites_52
T 34 -5 0 WorldTileSprites_52
T 35 -5 0 WorldTileSprites_52
T 36 -5 0 WorldTileSprites_52
T 37 -5 0 WorldTileSprites_52
T 38 -5 0 WorldTileSprites_52
T 39 -5 0 WorldTileSprites_52
T 40 -5 0 WorldTileSprites_52
T 41 -5 0 WorldTileSprites_52
T 42 -5 0 WorldTileSprites_52
T 43 -5 0 WorldTileSprites_52
T 44 -5 0 WorldTileSprites_52
T 45 -5 0 WorldTileSprites_52
T 46 -5 0 WorldTileSprites_52
T 47 -5 0 WorldTileSprites_52
T 48 -5 0 WorldTileSprites_52
T 49 -5 0 WorldTileSprites_52
T 50 -5 0 WorldTileSprites_52
T 51 -5 0 WorldTileSprites_52
T 52 -5 0 WorldTileSprites_52
T 53 -5 0 WorldTileSprites_52
T 54 -5 0 WorldTileSprites_52
T 57 -5 0 WorldTileSprites_52
T 58 -5 0 WorldTileSprites_52
T 59 -5 0 WorldTileSprites_52
T 60 -5 0 WorldTileSprites_52
T 61 -5 0 WorldTileSprites_52
T 62 -5 0 WorldTileSprites_52
T 63 -5 0 WorldTileSprites_52
T 64 -5 0 WorldTileSprites_52
T 65 -5 0 WorldTileSprites_52
T 66 -5 0 WorldTileSprites_52
T 67 -5 0 WorldTileSprites_52
T 68 -5 0 WorldTileSprites_52
T 69 -5 0 WorldTileSprites_52
T 70 -5 0 WorldTileSprites_52
T 71 -5 0 WorldTileSprites_52
T 75 -5 0 WorldTileSprites_52
T 76 -5 0 WorldTileSprites_52
T 77 -5 0 WorldTileSprites_52
T 78 -5 0 WorldTileSprites_52
T 79 -5 0 WorldTileSprites_52
T 80 -5 0 WorldTileSprites_52
T 81 -5 0 WorldTileSprites_52
T 82 -5 0 WorldTileSprites_52
T 83 -5 0 WorldTileSprites_52
T 84 -5 0 WorldTileSprites_52
T 85 -5 0 WorldTileSprites_52
T 86 -5 0 WorldTileSprites_52
T 87 -5 0 WorldTileSprites_52
T 88 -5 0 WorldTileSprites_52
T 89 -5 0 WorldTileSprites_52
T 90 -5 0 WorldTileSprites_52
T 91 -5 0 WorldTileSprites_52
T 92 -5 0 WorldTileSprites_52
T 93 -5 0 WorldTileSprites_52
T 94 -5 0 WorldTileSprites_52
T 95 -5 0 WorldTileSprites_52
T 96 -5 0 WorldTileSprites_52
T 97 -5 0 WorldTileSprites_52
T 98 -5 0 WorldTileSprites_52
T 99 -5 0 WorldTileSprites_52
T 100 -5 0 WorldTileSprites_52
T 101 -5 0 WorldTileSprites_52
T 102 -5 0 WorldTileSprites_52
T 103 -5 0 WorldTileSprites_52
T 104 -5 0 WorldTileSprites_52
T 105 -5 0 WorldTileSprites_52
T 106 -5 0 WorldTileSprites_52
T 107 -5 0 WorldTileSprites_52
T 108 -5 0 WorldTileSprites_52
T 109 -5 0 WorldTileSprites_52
T 110 -5 0 WorldTileSprites_52
T 111 -5 0 WorldTileSprites_52
T 112 -5 0 WorldTileSprites_52
T 113 -5 0 WorldTileSprites_52
T 114 -5 0 WorldTileSprites_52
T 115 -5 0 WorldTileSprites_52
T 116 -5 0 WorldTileSprites_52
T 117 -5 0 WorldTileSprites_52
T 118 -5 0 WorldTileSprites_52
T 119 -5 0 WorldTileSprites_52
T 120 -5 0 WorldTileSprites_52
T 121 -5 0 WorldTileSprites_52
T 122 -5 0 WorldTileSprites_52
T 123 -5 0 WorldTileSprites_52
T 124 -5 0 WorldTileSprites_52
T 125 -5 0 WorldTileSprites_52
T 126 -5 0 WorldTileSprites_52
T 127 -5 0 WorldTileSprites_52
T 128 -5 0 WorldTileSprites_52
T 129 -5 0 WorldTileSprites_52
T 130 -5 0 WorldTileSprites_52
T 131 -5 0 WorldTileSprites_52
T 132 -5 0 WorldTileSprites_52
T 133 -5 0 WorldTileSprites_52
T 134 -5 0 WorldTileSprites_52
T 135 -5 0 WorldTileSprites_52
T 136 -5 0 WorldTileSprites_52
T 137 -5 0 WorldTileSprites_52
T 138 -5 0 WorldTileSprites_52
T 141 -5 0 WorldTileSprites_52
T 142 -5 0 WorldTileSprites_52
T 143 -5 0 WorldTileSprites_52
T 144 -5 0 WorldTileSprites_52
T 145 -5 0 WorldTileSprites_52
T 146 -5 0 WorldTileSprites_52
T 147 -5 0 WorldTileSprites_52
T 148 -5 0 WorldTileSprites_52
T 149 -5 0 WorldTileSprites_52
T 150 -5 0 WorldTileSprites_52
T 151 -5 0 WorldTileSprites_52
T 152 -5 0 WorldTileSprites_52
T 153 -5 0 WorldTileSprites_52
T 154 -5 0 WorldTileSprites_52
T 155 -5 0 WorldTileSprites_52
T 156 -5 0 WorldTileSprites_52
T 157 -5 0 WorldTileSprites_52
T 158 -5 0 WorldTileSprites_52
T 159 -5 0 WorldTileSprites_52
T 160 -5 0 WorldTileSprites_52
T 161 -5 0 WorldTileSprites_52
T 162 -5 0 WorldTileSprites_52
T 163 -5 0 WorldTileSprites_52
T 164 -5 0 WorldTileSprites_52
T 165 -5 0 WorldTileSprites_52
T 166 -5 0 WorldTileSprites_52
T 167 -5 0 WorldTileSprites_52
T 168 -5 0 WorldTileSprites_52
T 169 -5 0 WorldTileSprites_52
T 170 -5 0 WorldTileSprites_52
T 171 -5 0 WorldTileSprites_52
T 172 -5 0 WorldTileSprites_52
T 173 -5 0 WorldTileSprites_52
T 174 -5 0 WorldTileSprites_52
T 175 -5 0 WorldTileSprites_52
T 176 -5 0 WorldTileSprites_52
T 177 -5 0 WorldTileSprites_52
T 178 -5 0 WorldTileSprites_52
T 179 -5 0 WorldTileSprites_52
T 180 -5 0 WorldTileSprites_52
T 181 -5 0 WorldTileSprites_52
T 182 -5 0 WorldTileSprites_52
T 183 -5 0 WorldTileSprites_52
T 184 -5 0 WorldTileSprites_52
T 185 -5 0 WorldTileSprites_52
T 186 -5 0 WorldTileSprites_52
T 187 -5 0 WorldTileSprites_52
T 188 -5 0 WorldTileSprites_52
T 189 -5 0 WorldTileSprites_52
T 190 -5 0 WorldTileSprites_52
T 191 -5 0 WorldTileSprites_52
T 192 -5 0 WorldTileSprites_52
T 193 -5 0 WorldTileSprites_52
T 194 -5 0 WorldTileSprites_52
T 195 -5 0 WorldTileSprites_52
T 196 -5 0 WorldTileSprites_52
T 197 -5 0 WorldTileSprites_52
T 198 -5 0 WorldTileSprites_52
T 199 -5 0 WorldTileSprites_52
T 200 -5 0 WorldTileSprites_52
T 201 -5 0 WorldTileSprites_52
T 202 -5 0 WorldTileSprites_52
T 203 -5 0 WorldTileSprites_52
T 204 -5 0 WorldTileSprites_52
T 205 -5 0 WorldTileSprites_52
T 206 -5 0 WorldTileSprites_52
T 207 -5 0 WorldTileSprites_52
T 208 -5 0 WorldTileSprites_52
T 209 -5 0 WorldTileSprites_52
T -14 -4 0 WorldTileSprites_52
T -13 -4 0 WorldTileSprites_52
T -12 -4 0 WorldTileSprites_52
T -11 -4 0 WorldTileSprites_52
T -10 -4 0 WorldTileSprites_52
T -9 -4 0 WorldTileSprites_52
T -8 -4 0 WorldTileSprites_52
T -7 -4 0 WorldTileSprites_52
T -6 -4 0 WorldTileSprites_52
T -5 -4 0 WorldTileSprites_52
T -4 -4 0 WorldTileSprites_52
T -3 -4 0 WorldTileSprites_52
T -2 -4 0 WorldTileSprites_52
T -1 -4 0 WorldTileSprites_52
T 0 -4 0 WorldTileSprites_52
T 1 -4 0 WorldTileSprites_52
T 2 -4 0 WorldTileSprites_52
T 3 -4 0 WorldTileSprites_52
T 4 -4 0 WorldTileSprites_52
T 5 -4 0 WorldTileSprites_52
T 6 -4 0 WorldTileSprites_52
T 7 -4 0 WorldTileSprites_52
T 8 -4 0 WorldTileSprites_52
T 9 -4 0 WorldTileSprites_52
T 10 -4 0 WorldTileSprites_52
T 11 -4 0 WorldTileSprites_52
T 12 -4 0 WorldTileSprites_52
T 13 -4 0 WorldTileSprites_52
T 14 -4 0 WorldTileSprites_52
T 15 -4 0 WorldTileSprites_52
T 16 -4 0 WorldTileSprites_52
T 17 -4 0 WorldTileSprites_52
T 18 -4 0 WorldTileSprites_52
T 19 -4 0 WorldTileSprites_52
T 20 -4 0 WorldTileSprites_52
T 21 -4 0 WorldTileSprites_52
T 22 -4 0 WorldTileSprites_52
T 23 -4 0 WorldTileSprites_52
T 24 -4 0 WorldTileSprites_52
T 25 -4 0 WorldTileSprites_52
T 26 -4 0 WorldTileSprites_52
T 27 -4 0 WorldTileSprites_52
T 28 -4 0 WorldTileSprites_52
T 29 -4 0 WorldTileSprites_52
T 30 -4 0 WorldTileSprites_52
T 31 -4 0 WorldTileSprites_52
T 32 -4 0 WorldTileSprites_52
T 33 -4 0 WorldTileSprites_52
T 34 -4 0 WorldTileSprites_52
T 35 -4 0 WorldTileSprites_52
T 36 -4 0 WorldTileSprites_52
T 37 -4 0 WorldTileSprites_52
T 38 -4 0 WorldTileSprites_52
T 39 -4 0 WorldTileSprites_52
T 40 -4 0 WorldTileSprites_52
T 41 -4 0 WorldTileSprites_52
T 42 -4 0 WorldTileSprites_52
T 43 -4 0 WorldTileSprites_52
T 44 -4 0 WorldTileSprites_52
T 45 -4 0 WorldTileSprites_52
T 46 -4 0 WorldTileSprites_52
T 47 -4 0 WorldTileSprites_52
T 48 -4 0 WorldTileSprites_52
T 49 -4 0 WorldTileSprites_52
T 50 -4 0 WorldTileSprites_52
T 51 -4 0 WorldTileSprites_52
T 52 -4 0 WorldTileSprites_52
T 53 -4 0 WorldTileSprites_52
T 54 -4 0 WorldTileSprites_52
T 57 -4 0 WorldTileSprites_52
T 58 -4 0 WorldTileSprites_52
T 59 -4 0 WorldTileSprites_52
T 60 -4 0 WorldTileSprites_52
T 61 -4 0 WorldTileSprites_52
T 62 -4 0 WorldTileSprites_52
T 63 -4 0 WorldTileSprites_52
T 64 -4 0 WorldTileSprites_52
T 65 -4 0 WorldTileSprites_52
T 66 -4 0 WorldTileSprites_52
T 67 -4 0 WorldTileSprites_52
T 68 -4 0 WorldTileSprites_52
T 69 -4 0 WorldTileSprites_52
T 70 -4 0 WorldTileSprites_52
T 71 -4 0 WorldTileSprites_52
T 75 -4 0 WorldTileSprites_52
T 76 -4 0 WorldTileSprites_52
T 77 -4 0 WorldTileSprites_52
T 78 -4 0 WorldTileSprites_52
T 79 -4 0 WorldTileSprites_52
T 80 -4 0 WorldTileSprites_52
T 81 -4 0 WorldTileSprites_52
T 82 -4 0 WorldTileSprites_52
T 83 -4 0 WorldTileSprites_52
T 84 -4 0 WorldTileSprites_52
T 85 -4 0 WorldTileSprites_52
T 86 -4 0 WorldTileSprites_52
T 87 -4 0 WorldTileSprites_52
T 88 -4 0 WorldTileSprites_52
T 89 -4 0 WorldTileSprites_52
T 90 -4 0 WorldTileSprites_52
T 91 -4 0 WorldTileSprites_52
T 92 -4 0 WorldTileSprites_52
T 93 -4 0 WorldTileSprites_52
T 94 -4 0 WorldTileSprites_52
T 95 -4 0 WorldTileSprites_52
T 96 -4 0 WorldTileSprites_52
T 97 -4 0 WorldTileSprites_52
T 98 -4 0 WorldTileSprites_52
T 99 -4 0 WorldTileSprites_52
T 100 -4 0 WorldTileSprites_52
T 101 -4 0 WorldTileSprites_52
T 102 -4 0 WorldTileSprites_52
T 103 -4 0 WorldTileSprites_52
T 104 -4 0 WorldTileSprites_52
T 105 -4 0 WorldTileSprites_52
T 106 -4 0 WorldTileSprites_52
T 107 -4 0 WorldTileSprites_52
T 108 -4 0 WorldTileSprites_52
T 109 -4 0 WorldTileSprites_52
T 110 -4 0 WorldTileSprites_52
