# Super Mario Bros. World 1-2 秘密金币房（管中密室）
# 数据来源：原版资源/解析/原版1-1与1-2元素表.md §4.2（出处 = SMB-clone 的
#           Assets/Scenes/World 1-2 - Underground.unity，103 个 prefab 实例逐格解析；
#           §4.2 的表按列给了每一块的 clone 场景行号，图给了完整的逐格形状）。
# 坐标系：本文件用 clone 场景的**格坐标原样** —— 与 client/Assets/Resources/Levels/World1-2.txt
#         同一套（1-2 主关的 T 100..101 就是 clone world 100.5 的那根管），§4.2 的图表就是这个坐标。
#   ┌ 出处（元素表 §4.2）───────── 本文件写出来的格 ─────────────┐
#   左墙   x=-8,   y=0..10          → x=-8,   y=0..10      (11 块)
#   天花   x=-5..4, y=7..10         → x=-5..4, y=7..10     (40 块)
#   中墙   x=-5..4, y=3             → x=-5..3, y=3        (9 块；x=4 那格是多金币砖，见下 E 行)
#   右墙   x=5,6,  y=2..10          → x=5,6,  y=2..10      (18 块)
#   地面   x=-8..8, y=-2..-1        → x=-8..8, y=-2..-1    (34 块)
#   出口管 x=7,8 管身 y=0..10 + 管口 x=5,6 y=0..1 → 同上 (26 块)
#   金币   17 枚：y=4 八枚(x=-4..3)、y=0 九枚(x=-5..3)（§4.2「金币 17 枚」逐条列了行号）
#   多金币砖 1 块：x=4,y=3（§4.2 图里的 M；表 x=4 行注「含多金币砖」`Wall Green Brick Block- MultiCoin`）
#   玩家落点 clone (-6,9)（§4.2「玩家落点」行）→ 由流程层用 StageContext.SpawnOverride 指定，不写在这里
# 格式见 tools/ai-skill/conventions.md：T <x> <y> <layer> <sprite> / E <x> <y> <prefab>
# 注：墙/地面与 1-2 主关的墙用同一张瓦片（WorldTileSprites_1，clone 里本就是同一个 prefab 类
#     `Wall Green Brick Block- Regular`）；它们是房间结构，**不转成可顶碎的砖块实体**
#     （StageContext.SubArea 关掉那条转换），顶碎了人就能走出房间外。
#     出口管与 1-1 密室的同形：管身 _18(左)/_19(右)、管顶 _5(左上)/_6(右上)。

# ── 地面 x=-8..8（clone y=-2,-1）──
T -8 -2 0 WorldTileSprites_1
T -7 -2 0 WorldTileSprites_1
T -6 -2 0 WorldTileSprites_1
T -5 -2 0 WorldTileSprites_1
T -4 -2 0 WorldTileSprites_1
T -3 -2 0 WorldTileSprites_1
T -2 -2 0 WorldTileSprites_1
T -1 -2 0 WorldTileSprites_1
T 0 -2 0 WorldTileSprites_1
T 1 -2 0 WorldTileSprites_1
T 2 -2 0 WorldTileSprites_1
T 3 -2 0 WorldTileSprites_1
T 4 -2 0 WorldTileSprites_1
T 5 -2 0 WorldTileSprites_1
T 6 -2 0 WorldTileSprites_1
T 7 -2 0 WorldTileSprites_1
T 8 -2 0 WorldTileSprites_1
T -8 -1 0 WorldTileSprites_1
T -7 -1 0 WorldTileSprites_1
T -6 -1 0 WorldTileSprites_1
T -5 -1 0 WorldTileSprites_1
T -4 -1 0 WorldTileSprites_1
T -3 -1 0 WorldTileSprites_1
T -2 -1 0 WorldTileSprites_1
T -1 -1 0 WorldTileSprites_1
T 0 -1 0 WorldTileSprites_1
T 1 -1 0 WorldTileSprites_1
T 2 -1 0 WorldTileSprites_1
T 3 -1 0 WorldTileSprites_1
T 4 -1 0 WorldTileSprites_1
T 5 -1 0 WorldTileSprites_1
T 6 -1 0 WorldTileSprites_1
T 7 -1 0 WorldTileSprites_1
T 8 -1 0 WorldTileSprites_1

# ── 左墙 x=-8（y=0..10）──
T -8 0 0 WorldTileSprites_1
T -8 1 0 WorldTileSprites_1
T -8 2 0 WorldTileSprites_1
T -8 3 0 WorldTileSprites_1
T -8 4 0 WorldTileSprites_1
T -8 5 0 WorldTileSprites_1
T -8 6 0 WorldTileSprites_1
T -8 7 0 WorldTileSprites_1
T -8 8 0 WorldTileSprites_1
T -8 9 0 WorldTileSprites_1
T -8 10 0 WorldTileSprites_1

# ── 天花 y=10（x=-5..4）──
T -5 10 0 WorldTileSprites_1
T -4 10 0 WorldTileSprites_1
T -3 10 0 WorldTileSprites_1
T -2 10 0 WorldTileSprites_1
T -1 10 0 WorldTileSprites_1
T 0 10 0 WorldTileSprites_1
T 1 10 0 WorldTileSprites_1
T 2 10 0 WorldTileSprites_1
T 3 10 0 WorldTileSprites_1
T 4 10 0 WorldTileSprites_1

# ── 天花 y=9（x=-5..4）──
T -5 9 0 WorldTileSprites_1
T -4 9 0 WorldTileSprites_1
T -3 9 0 WorldTileSprites_1
T -2 9 0 WorldTileSprites_1
T -1 9 0 WorldTileSprites_1
T 0 9 0 WorldTileSprites_1
T 1 9 0 WorldTileSprites_1
T 2 9 0 WorldTileSprites_1
